City,Country,Rental_Company,Car_Category,Daily_Price(USD),Pickup_Location,Date_Collected
Vancouver,Canada,Hertz,Economy/Small,46,Airport,2026-02-01
Vancouver,Canada,Avis,Economy/Small,48,Airport,2026-02-01
Vancouver,Canada,Enterprise,Economy/Small,49,Airport,2026-02-01
Toronto,Canada,Hertz,Economy/Small,63,Airport,2026-02-01
Toronto,Canada,Avis,Economy/Small,59,Airport,2026-02-01
Toronto,Canada,Enterprise,Economy/Small,64,Airport,2026-02-01
Montreal,Canada,Hertz,Economy/Small,35,Airport,2026-02-01
Montreal,Canada,Avis,Economy/Small,36,Airport,2026-02-01
Montreal,Canada,Enterprise,Economy/Small,37,Airport,2026-02-01
New York,USA,Hertz,Economy/Small,45,Airport,2026-02-01
New York,USA,Avis,Economy/Small,56,Airport,2026-02-01
New York,USA,Enterprise,Economy/Small,56,Airport,2026-02-01
Los Angeles,USA,Hertz,Economy/Small,113,Airport,2026-02-01
Los Angeles,USA,Avis,Economy/Small,108,Airport,2026-02-01
Los Angeles,USA,Enterprise,Economy/Small,113,Airport,2026-02-01
Miami,USA,Hertz,Economy/Small,46,Airport,2026-02-01
Miami,USA,Avis,Economy/Small,47,Airport,2026-02-01
Miami,USA,Enterprise,Economy/Small,49,Airport,2026-02-01
Vancouver,Canada,Hertz,Economy/Small,36,Airport,2026-02-02
Vancouver,Canada,Avis,Economy/Small,34,Airport,2026-02-02
Vancouver,Canada,Enterprise,Economy/Small,41,Airport,2026-02-02
Toronto,Canada,Hertz,Economy/Small,37,Airport,2026-02-02
Toronto,Canada,Avis,Economy/Small,36,Airport,2026-02-02
Toronto,Canada,Enterprise,Economy/Small,37,Airport,2026-02-02
Montreal,Canada,Hertz,Economy/Small,28,Airport,2026-02-02
Montreal,Canada,Avis,Economy/Small,28,Airport,2026-02-02
Montreal,Canada,Enterprise,Economy/Small,29,Airport,2026-02-02
New York,USA,Hertz,Economy/Small,49,Airport,2026-02-02
New York,USA,Avis,Economy/Small,48,Airport,2026-02-02
New York,USA,Enterprise,Economy/Small,46,Airport,2026-02-02
Los Angeles,USA,Hertz,Economy/Small,84,Airport,2026-02-02
Los Angeles,USA,Avis,Economy/Small,97,Airport,2026-02-02
Los Angeles,USA,Enterprise,Economy/Small,103,Airport,2026-02-02
Miami,USA,Hertz,Economy/Small,37,Airport,2026-02-02
Miami,USA,Avis,Economy/Small,38,Airport,2026-02-02
Miami,USA,Enterprise,Economy/Small,38,Airport,2026-02-02
Vancouver,Canada,Hertz,Economy/Small,40,Airport,2026-02-03
Vancouver,Canada,Avis,Economy/Small,38,Airport,2026-02-03
Vancouver,Canada,Enterprise,Economy/Small,43,Airport,2026-02-03
Toronto,Canada,Hertz,Economy/Small,41,Airport,2026-02-03
Toronto,Canada,Avis,Economy/Small,40,Airport,2026-02-03
Toronto,Canada,Enterprise,Economy/Small,40,Airport,2026-02-03
Montreal,Canada,Hertz,Economy/Small,31,Airport,2026-02-03
Montreal,Canada,Avis,Economy/Small,31,Airport,2026-02-03
Montreal,Canada,Enterprise,Economy/Small,32,Airport,2026-02-03
New York,USA,Hertz,Economy/Small,52,Airport,2026-02-03
New York,USA,Avis,Economy/Small,51,Airport,2026-02-03
New York,USA,Enterprise,Economy/Small,50,Airport,2026-02-03
Los Angeles,USA,Hertz,Economy/Small,98,Airport,2026-02-03
Los Angeles,USA,Avis,Economy/Small,105,Airport,2026-02-03
Los Angeles,USA,Enterprise,Economy/Small,108,Airport,2026-02-03
Miami,USA,Hertz,Economy/Small,40,Airport,2026-02-03
Miami,USA,Avis,Economy/Small,42,Airport,2026-02-03
Miami,USA,Enterprise,Economy/Small,43,Airport,2026-02-03
Vancouver,Canada,Hertz,Economy/Small,41,Airport,2026-02-04
Vancouver,Canada,Avis,Economy/Small,39,Airport,2026-02-04
Vancouver,Canada,Enterprise,Economy/Small,44,Airport,2026-02-04
Toronto,Canada,Hertz,Economy/Small,43,Airport,2026-02-04
Toronto,Canada,Avis,Economy/Small,41,Airport,2026-02-04
Toronto,Canada,Enterprise,Economy/Small,41,Airport,2026-02-04
Montreal,Canada,Hertz,Economy/Small,31,Airport,2026-02-04
Montreal,Canada,Avis,Economy/Small,32,Airport,2026-02-04
